song_id, comment_id, reply_id
7000000,28000000,21000000
7000001,28000004,21000003
7000002,28000008,21000006
7000003,28000012,21000009
7000004,28000016,21000012
7000005,28000020,21000015
7000006,28000024,21000018
7000007,28000028,21000021
7000008,28000032,21000024
7000009,28000036,21000027
7000010,28000040,21000030
7000011,28000044,21000033
7000012,28000048,21000036
7000013,28000052,21000039
7000014,28000056,21000042
7000015,28000060,21000045
7000016,28000064,21000048
7000017,28000068,21000051
7000018,28000072,21000054
7000019,28000076,21000057
7000020,28000080,21000060
7000021,28000084,21000063
7000022,28000088,21000066
7000023,28000092,21000069
7000024,28000096,21000072
7000025,28000100,21000075
7000026,28000104,21000078
7000027,28000108,21000081
7000028,28000112,21000084
7000029,28000116,21000087
7000030,28000120,21000090
7000031,28000124,21000093
7000032,28000128,21000096
7000033,28000132,21000099
7000034,28000136,21000102
7000035,28000140,21000105
7000036,28000144,21000108
7000037,28000148,21000111
7000038,28000152,21000114
7000039,28000156,21000117
7000040,28000160,21000120
7000041,28000164,21000123
7000042,28000168,21000126
7000043,28000172,21000129
7000044,28000176,21000132
7000045,28000180,21000135
7000046,28000184,21000138
7000047,28000188,21000141
7000048,28000192,21000144
7000049,28000196,21000147
7000050,28000200,21000150
7000051,28000204,21000153
7000052,28000208,21000156
7000053,28000212,21000159
7000054,28000216,21000162
7000055,28000220,21000165
7000056,28000224,21000168
7000057,28000228,21000171
7000058,28000232,21000174
7000059,28000236,21000177
7000060,28000240,21000180
7000061,28000244,21000183
7000062,28000248,21000186
7000063,28000252,21000189
7000064,28000256,21000192
7000065,28000260,21000195
7000066,28000264,21000198
7000067,28000268,21000201
7000068,28000272,21000204
7000069,28000276,21000207
7000070,28000280,21000210
7000071,28000284,21000213
7000072,28000288,21000216
7000073,28000292,21000219
7000074,28000296,21000222
7000075,28000300,21000225
7000076,28000304,21000228
7000077,28000308,21000231
7000078,28000312,21000234
7000079,28000316,21000237
7000080,28000320,21000240
7000081,28000324,21000243
7000082,28000328,21000246
7000083,28000332,21000249
7000084,28000336,21000252
7000085,28000340,21000255
7000086,28000344,21000258
7000087,28000348,21000261
7000088,28000352,21000264
7000089,28000356,21000267
7000090,28000360,21000270
7000091,28000364,21000273
7000092,28000368,21000276
7000093,28000372,21000279
7000094,28000376,21000282
7000095,28000380,21000285
7000096,28000384,21000288
7000097,28000388,21000291
7000098,28000392,21000294
7000099,28000396,21000297
7000100,28000400,21000300
7000101,28000404,21000303
7000102,28000408,21000306
7000103,28000412,21000309
7000104,28000416,21000312
7000105,28000420,21000315
7000106,28000424,21000318
7000107,28000428,21000321
7000108,28000432,21000324
7000109,28000436,21000327
7000110,28000440,21000330
7000111,28000444,21000333
7000112,28000448,21000336
7000113,28000452,21000339
7000114,28000456,21000342
7000115,28000460,21000345
7000116,28000464,21000348
7000117,28000468,21000351
7000118,28000472,21000354
7000119,28000476,21000357
7000120,28000480,21000360
7000121,28000484,21000363
7000122,28000488,21000366
7000123,28000492,21000369
7000124,28000496,21000372
7000125,28000500,21000375
7000126,28000504,21000378
7000127,28000508,21000381
7000128,28000512,21000384
7000129,28000516,21000387
7000130,28000520,21000390
7000131,28000524,21000393
7000132,28000528,21000396
7000133,28000532,21000399
7000134,28000536,21000402
7000135,28000540,21000405
7000136,28000544,21000408
7000137,28000548,21000411
7000138,28000552,21000414
7000139,28000556,21000417
7000140,28000560,21000420
7000141,28000564,21000423
7000142,28000568,21000426
7000143,28000572,21000429
7000144,28000576,21000432
7000145,28000580,21000435
7000146,28000584,21000438
7000147,28000588,21000441
7000148,28000592,21000444
7000149,28000596,21000447
7000150,28000600,21000450
7000151,28000604,21000453
7000152,28000608,21000456
7000153,28000612,21000459
7000154,28000616,21000462
7000155,28000620,21000465
7000156,28000624,21000468
7000157,28000628,21000471
7000158,28000632,21000474
7000159,28000636,21000477
7000160,28000640,21000480
7000161,28000644,21000483
7000162,28000648,21000486
7000163,28000652,21000489
7000164,28000656,21000492
7000165,28000660,21000495
7000166,28000664,21000498
7000167,28000668,21000501
7000168,28000672,21000504
7000169,28000676,21000507
7000170,28000680,21000510
7000171,28000684,21000513
7000172,28000688,21000516
7000173,28000692,21000519
7000174,28000696,21000522
7000175,28000700,21000525
7000176,28000704,21000528
7000177,28000708,21000531
7000178,28000712,21000534
7000179,28000716,21000537
7000180,28000720,21000540
7000181,28000724,21000543
7000182,28000728,21000546
7000183,28000732,21000549
7000184,28000736,21000552
7000185,28000740,21000555
7000186,28000744,21000558
7000187,28000748,21000561
7000188,28000752,21000564
7000189,28000756,21000567
7000190,28000760,21000570
7000191,28000764,21000573
7000192,28000768,21000576
7000193,28000772,21000579
7000194,28000776,21000582
7000195,28000780,21000585
7000196,28000784,21000588
7000197,28000788,21000591
7000198,28000792,21000594
7000199,28000796,21000597
7000200,28000800,21000600
7000201,28000804,21000603
7000202,28000808,21000606
7000203,28000812,21000609
7000204,28000816,21000612
7000205,28000820,21000615
7000206,28000824,21000618
7000207,28000828,21000621
7000208,28000832,21000624
7000209,28000836,21000627
7000210,28000840,21000630
7000211,28000844,21000633
7000212,28000848,21000636
7000213,28000852,21000639
7000214,28000856,21000642
7000215,28000860,21000645
7000216,28000864,21000648
7000217,28000868,21000651
7000218,28000872,21000654
7000219,28000876,21000657
7000220,28000880,21000660
7000221,28000884,21000663
7000222,28000888,21000666
7000223,28000892,21000669
7000224,28000896,21000672
7000225,28000900,21000675
7000226,28000904,21000678
7000227,28000908,21000681
7000228,28000912,21000684
7000229,28000916,21000687
7000230,28000920,21000690
7000231,28000924,21000693
7000232,28000928,21000696
7000233,28000932,21000699
7000234,28000936,21000702
7000235,28000940,21000705
7000236,28000944,21000708
7000237,28000948,21000711
7000238,28000952,21000714
7000239,28000956,21000717
7000240,28000960,21000720
7000241,28000964,21000723
7000242,28000968,21000726
7000243,28000972,21000729
7000244,28000976,21000732
7000245,28000980,21000735
7000246,28000984,21000738
7000247,28000988,21000741
7000248,28000992,21000744
7000249,28000996,21000747
7000250,28001000,21000750
7000251,28001004,21000753
7000252,28001008,21000756
7000253,28001012,21000759
7000254,28001016,21000762
7000255,28001020,21000765
7000256,28001024,21000768
7000257,28001028,21000771
7000258,28001032,21000774
7000259,28001036,21000777
7000260,28001040,21000780
7000261,28001044,21000783
7000262,28001048,21000786
7000263,28001052,21000789
7000264,28001056,21000792
7000265,28001060,21000795
7000266,28001064,21000798
7000267,28001068,21000801
7000268,28001072,21000804
7000269,28001076,21000807
7000270,28001080,21000810
7000271,28001084,21000813
7000272,28001088,21000816
7000273,28001092,21000819
7000274,28001096,21000822
7000275,28001100,21000825
7000276,28001104,21000828
7000277,28001108,21000831
7000278,28001112,21000834
7000279,28001116,21000837
7000280,28001120,21000840
7000281,28001124,21000843
7000282,28001128,21000846
7000283,28001132,21000849
7000284,28001136,21000852
7000285,28001140,21000855
7000286,28001144,21000858
7000287,28001148,21000861
7000288,28001152,21000864
7000289,28001156,21000867
7000290,28001160,21000870
7000291,28001164,21000873
7000292,28001168,21000876
7000293,28001172,21000879
7000294,28001176,21000882
7000295,28001180,21000885
7000296,28001184,21000888
7000297,28001188,21000891
7000298,28001192,21000894
7000299,28001196,21000897
7000300,28001200,21000900
7000301,28001204,21000903
7000302,28001208,21000906
7000303,28001212,21000909
7000304,28001216,21000912
7000305,28001220,21000915
7000306,28001224,21000918
7000307,28001228,21000921
7000308,28001232,21000924
7000309,28001236,21000927
7000310,28001240,21000930
7000311,28001244,21000933
7000312,28001248,21000936
7000313,28001252,21000939
7000314,28001256,21000942
7000315,28001260,21000945
7000316,28001264,21000948
7000317,28001268,21000951
7000318,28001272,21000954
7000319,28001276,21000957
7000320,28001280,21000960
7000321,28001284,21000963
7000322,28001288,21000966
7000323,28001292,21000969
7000324,28001296,21000972
7000325,28001300,21000975
7000326,28001304,21000978
7000327,28001308,21000981
7000328,28001312,21000984
7000329,28001316,21000987
7000330,28001320,21000990
7000331,28001324,21000993
7000332,28001328,21000996
7000333,28001332,21000999
7000334,28001336,21001002
7000335,28001340,21001005
7000336,28001344,21001008
7000337,28001348,21001011
7000338,28001352,21001014
7000339,28001356,21001017
7000340,28001360,21001020
7000341,28001364,21001023
7000342,28001368,21001026
7000343,28001372,21001029
7000344,28001376,21001032
7000345,28001380,21001035
7000346,28001384,21001038
7000347,28001388,21001041
7000348,28001392,21001044
7000349,28001396,21001047
7000350,28001400,21001050
7000351,28001404,21001053
7000352,28001408,21001056
7000353,28001412,21001059
7000354,28001416,21001062
7000355,28001420,21001065
7000356,28001424,21001068
7000357,28001428,21001071
7000358,28001432,21001074
7000359,28001436,21001077
7000360,28001440,21001080
7000361,28001444,21001083
7000362,28001448,21001086
7000363,28001452,21001089
7000364,28001456,21001092
7000365,28001460,21001095
7000366,28001464,21001098
7000367,28001468,21001101
7000368,28001472,21001104
7000369,28001476,21001107
7000370,28001480,21001110
7000371,28001484,21001113
7000372,28001488,21001116
7000373,28001492,21001119
7000374,28001496,21001122
7000375,28001500,21001125
7000376,28001504,21001128
7000377,28001508,21001131
7000378,28001512,21001134
7000379,28001516,21001137
7000380,28001520,21001140
7000381,28001524,21001143
7000382,28001528,21001146
7000383,28001532,21001149
7000384,28001536,21001152
7000385,28001540,21001155
7000386,28001544,21001158
7000387,28001548,21001161
7000388,28001552,21001164
7000389,28001556,21001167
7000390,28001560,21001170
7000391,28001564,21001173
7000392,28001568,21001176
7000393,28001572,21001179
7000394,28001576,21001182
7000395,28001580,21001185
7000396,28001584,21001188
7000397,28001588,21001191
7000398,28001592,21001194
7000399,28001596,21001197
7000400,28001600,21001200
7000401,28001604,21001203
7000402,28001608,21001206
7000403,28001612,21001209
7000404,28001616,21001212
7000405,28001620,21001215
7000406,28001624,21001218
7000407,28001628,21001221
7000408,28001632,21001224
7000409,28001636,21001227
7000410,28001640,21001230
7000411,28001644,21001233
7000412,28001648,21001236
7000413,28001652,21001239
7000414,28001656,21001242
7000415,28001660,21001245
7000416,28001664,21001248
7000417,28001668,21001251
7000418,28001672,21001254
7000419,28001676,21001257
7000420,28001680,21001260
7000421,28001684,21001263
7000422,28001688,21001266
7000423,28001692,21001269
7000424,28001696,21001272
7000425,28001700,21001275
7000426,28001704,21001278
7000427,28001708,21001281
7000428,28001712,21001284
7000429,28001716,21001287
7000430,28001720,21001290
7000431,28001724,21001293
7000432,28001728,21001296
7000433,28001732,21001299
7000434,28001736,21001302
7000435,28001740,21001305
7000436,28001744,21001308
7000437,28001748,21001311
7000438,28001752,21001314
7000439,28001756,21001317
7000440,28001760,21001320
7000441,28001764,21001323
7000442,28001768,21001326
7000443,28001772,21001329
7000444,28001776,21001332
7000445,28001780,21001335
7000446,28001784,21001338
7000447,28001788,21001341
7000448,28001792,21001344
7000449,28001796,21001347
7000450,28001800,21001350
7000451,28001804,21001353
7000452,28001808,21001356
7000453,28001812,21001359
7000454,28001816,21001362
7000455,28001820,21001365
7000456,28001824,21001368
7000457,28001828,21001371
7000458,28001832,21001374
7000459,28001836,21001377
7000460,28001840,21001380
7000461,28001844,21001383
7000462,28001848,21001386
7000463,28001852,21001389
7000464,28001856,21001392
7000465,28001860,21001395
7000466,28001864,21001398
7000467,28001868,21001401
7000468,28001872,21001404
7000469,28001876,21001407
7000470,28001880,21001410
7000471,28001884,21001413
7000472,28001888,21001416
7000473,28001892,21001419
7000474,28001896,21001422
7000475,28001900,21001425
7000476,28001904,21001428
7000477,28001908,21001431
7000478,28001912,21001434
7000479,28001916,21001437
7000480,28001920,21001440
7000481,28001924,21001443
7000482,28001928,21001446
7000483,28001932,21001449
7000484,28001936,21001452
7000485,28001940,21001455
7000486,28001944,21001458
7000487,28001948,21001461
7000488,28001952,21001464
7000489,28001956,21001467
7000490,28001960,21001470
7000491,28001964,21001473
7000492,28001968,21001476
7000493,28001972,21001479
7000494,28001976,21001482
7000495,28001980,21001485
7000496,28001984,21001488
7000497,28001988,21001491
7000498,28001992,21001494
7000499,28001996,21001497
7000500,28002000,21001500
7000501,28002004,21001503
7000502,28002008,21001506
7000503,28002012,21001509
7000504,28002016,21001512
7000505,28002020,21001515
7000506,28002024,21001518
7000507,28002028,21001521
7000508,28002032,21001524
7000509,28002036,21001527
7000510,28002040,21001530
7000511,28002044,21001533
7000512,28002048,21001536
7000513,28002052,21001539
7000514,28002056,21001542
7000515,28002060,21001545
7000516,28002064,21001548
7000517,28002068,21001551
7000518,28002072,21001554
7000519,28002076,21001557
7000520,28002080,21001560
7000521,28002084,21001563
7000522,28002088,21001566
7000523,28002092,21001569
7000524,28002096,21001572
7000525,28002100,21001575
7000526,28002104,21001578
7000527,28002108,21001581
7000528,28002112,21001584
7000529,28002116,21001587
7000530,28002120,21001590
7000531,28002124,21001593
7000532,28002128,21001596
7000533,28002132,21001599
7000534,28002136,21001602
7000535,28002140,21001605
7000536,28002144,21001608
7000537,28002148,21001611
7000538,28002152,21001614
7000539,28002156,21001617
7000540,28002160,21001620
7000541,28002164,21001623
7000542,28002168,21001626
7000543,28002172,21001629
7000544,28002176,21001632
7000545,28002180,21001635
7000546,28002184,21001638
7000547,28002188,21001641
7000548,28002192,21001644
7000549,28002196,21001647
7000550,28002200,21001650
7000551,28002204,21001653
7000552,28002208,21001656
7000553,28002212,21001659
7000554,28002216,21001662
7000555,28002220,21001665
7000556,28002224,21001668
7000557,28002228,21001671
7000558,28002232,21001674
7000559,28002236,21001677
7000560,28002240,21001680
7000561,28002244,21001683
7000562,28002248,21001686
7000563,28002252,21001689
7000564,28002256,21001692
7000565,28002260,21001695
7000566,28002264,21001698
7000567,28002268,21001701
7000568,28002272,21001704
7000569,28002276,21001707
7000570,28002280,21001710
7000571,28002284,21001713
7000572,28002288,21001716
